opensource,era5_pressure,1000hpa temperature,t1000hpa,K,C | F,气压层1000hpa气温
opensource,era5_pressure,925hpa temperature,t925hpa,K,C | F,气压层925hpa气温
opensource,era5_pressure,850hpa temperature,t850hpa,K,C | F,气压层850hpa气温
opensource,era5_pressure,700hpa temperature,t700hpa,K,C | F,气压层700hpa气温
opensource,era5_pressure,600hpa temperature,t600hpa,K,C | F,气压层600hpa气温
opensource,era5_pressure,500hpa temperature,t500hpa,K,C | F,气压层500hpa气温
opensource,era5_pressure,400hpa temperature,t400hpa,K,C | F,气压层400hpa气温
opensource,era5_pressure,300hpa temperature,t300hpa,K,C | F,气压层300hpa气温
opensource,era5_pressure,250hpa temperature,t250hpa,K,C | F,气压层250hpa气温
opensource,era5_pressure,200hpa temperature,t200hpa,K,C | F,气压层200hpa气温
opensource,era5_pressure,150hpa temperature,t150hpa,K,C | F,气压层150hpa气温
opensource,era5_pressure,100hpa temperature,t100hpa,K,C | F,气压层100hpa气温
opensource,era5_pressure,50hpa temperature,t50hpa,K,C | F,气压层50hpa气温
opensource,era5_pressure,1000hpa U wind component,u1000hpa,m/s,km/h | mph,气压层1000hpa风速U分量
opensource,era5_pressure,925hpa U wind component,u925hpa,m/s,km/h | mph,气压层925hpa风速U分量
opensource,era5_pressure,850hpa U wind component,u850hpa,m/s,km/h | mph,气压层850hpa风速U分量
opensource,era5_pressure,700hpa U wind component,u700hpa,m/s,km/h | mph,气压层700hpa风速U分量
opensource,era5_pressure,600hpa U wind component,u600hpa,m/s,km/h | mph,气压层600hpa风速U分量
opensource,era5_pressure,500hpa U wind component,u500hpa,m/s,km/h | mph,气压层500hpa风速U分量
opensource,era5_pressure,400hpa U wind component,u400hpa,m/s,km/h | mph,气压层400hpa风速U分量
opensource,era5_pressure,300hpa U wind component,u300hpa,m/s,km/h | mph,气压层300hpa风速U分量
opensource,era5_pressure,250hpa U wind component,u250hpa,m/s,km/h | mph,气压层250hpa风速U分量
opensource,era5_pressure,200hpa U wind component,u200hpa,m/s,km/h | mph,气压层200hpa风速U分量
opensource,era5_pressure,150hpa U wind component,u150hpa,m/s,km/h | mph,气压层150hpa风速U分量
opensource,era5_pressure,100hpa U wind component,u100hpa,m/s,km/h | mph,气压层100hpa风速U分量
opensource,era5_pressure,50hpa U wind component,u50hpa,m/s,km/h | mph,气压层50hpa风速U分量
opensource,era5_pressure,1000hpa V wind component,v1000hpa,m/s,km/h | mph,气压层1000hpa风速V分量
opensource,era5_pressure,925hpa V wind component,v925hpa,m/s,km/h | mph,气压层925hpa风速V分量
opensource,era5_pressure,850hpa V wind component,v850hpa,m/s,km/h | mph,气压层850hpa风速V分量
opensource,era5_pressure,700hpa V wind component,v700hpa,m/s,km/h | mph,气压层700hpa风速V分量
opensource,era5_pressure,600hpa V wind component,v600hpa,m/s,km/h | mph,气压层600hpa风速V分量
opensource,era5_pressure,500hpa V wind component,v500hpa,m/s,km/h | mph,气压层500hpa风速V分量
opensource,era5_pressure,400hpa V wind component,v400hpa,m/s,km/h | mph,气压层400hpa风速V分量
opensource,era5_pressure,300hpa V wind component,v300hpa,m/s,km/h | mph,气压层300hpa风速V分量
opensource,era5_pressure,250hpa V wind component,v250hpa,m/s,km/h | mph,气压层250hpa风速V分量
opensource,era5_pressure,200hpa V wind component,v200hpa,m/s,km/h | mph,气压层200hpa风速V分量
opensource,era5_pressure,150hpa V wind component,v150hpa,m/s,km/h | mph,气压层150hpa风速V分量
opensource,era5_pressure,100hpa V wind component,v100hpa,m/s,km/h | mph,气压层100hpa风速V分量
opensource,era5_pressure,50hpa V wind component,v50hpa,m/s,km/h | mph,气压层50hpa风速V分量
opensource,era5_pressure,wind speed 1000hpa,ws1000hpa,m/s,km/h | mph,[预处理]气压层1000hpa风速
opensource,era5_pressure,wind direction 1000hpa,wd1000hpa,degree,rad,[预处理]气压层1000hpa风向
opensource,era5_pressure,wind speed 925hpa,ws925hpa,m/s,km/h | mph,[预处理]气压层925hpa风速
opensource,era5_pressure,wind direction 925hpa,wd925hpa,degree,rad,[预处理]气压层925hpa风向
opensource,era5_pressure,wind speed 850hpa,ws850hpa,m/s,km/h | mph,[预处理]气压层850hpa风速
opensource,era5_pressure,wind direction 850hpa,wd850hpa,degree,rad,[预处理]气压层850hpa风向
opensource,era5_pressure,wind speed 700hpa,ws700hpa,m/s,km/h | mph,[预处理]气压层700hpa风速
opensource,era5_pressure,wind direction 700hpa,wd700hpa,degree,rad,[预处理]气压层700hpa风向
opensource,era5_pressure,wind speed 600hpa,ws600hpa,m/s,km/h | mph,[预处理]气压层600hpa风速
opensource,era5_pressure,wind direction 600hpa,wd600hpa,degree,rad,[预处理]气压层600hpa风向
opensource,era5_pressure,wind speed 500hpa,ws500hpa,m/s,km/h | mph,[预处理]气压层500hpa风速
